ID nummer;Naam;Begin vers;Eind vers
178;Vernietiging van Ai;Jozua 8:1;Jozua 8:29
179;Plechtigheid op de Ebal;Jozua 8:30;Jozua 8:35
180;Lijst van de Chiwwieten;Jozua 9:1;Jozua 9:27
181;Slag bij Gibeon;Jozua 10:1;Jozua 10:28
182;Verovering van het zuiden;Jozua 10:29;Jozua 10:43
183;Verovering van het noorden;Jozua 11:1;Jozua 11:15
184;Overzicht van de veroveringen;Jozua 11:16;Jozua 11:23
185;Lijst van verslagen koningen;Jozua 12:1;Jozua 12:24
186;Nog te veroveren gebieden;Jozua 13:1;Jozua 13:7
187;Verdeling van het land ten oosten van de Jordaan;Jozua 13:8;Jozua 13:14
188;Het grondgebied van de stam Ruben;Jozua 13:15;Jozua 13:23
189;Het grondgebied van de stam Gad;Jozua 13:24;Jozua 13:28
190;Het grondgebied van de eerste helft van de stam Manasse;Jozua 13:29;Jozua 13:33
191;Verdeling van het land ten westen van de Jordaan;Jozua 14:1;Jozua 14:5
192;Toewijzing van Hebron aan Kaleb;Jozua 14:6;Jozua 14:15
193;Het grondgebied van de stam Juda;Jozua 15:1;Jozua 15:20
194;De steden van de stam Juda;Jozua 15:21;Jozua 15:63
195;Het grondgebied van de nakomelingen van Jozef;Jozua 16:1;Jozua 16:10
196;Het grondgebied van de tweede helft van de stam Manasse;Jozua 17:1;Jozua 17:13
197;Efraïm en Manasse beklagen zich;Jozua 17:14;Jozua 17:18
198;Volksvergadering in Silo;Jozua 18:1;Jozua 18:10
199;Het grondgebied van de stam Benjamin;Jozua 18:11;Jozua 18:28
200;Het grondgebied van de stam Simeon;Jozua 19:1;Jozua 19:9
201;Het grondgebied van de stam Zebulon;Jozua 19:10;Jozua 19:16
202;Het grondgebied van de stam Issachar;Jozua 19:17;Jozua 19:23
203;Het grondgebied van de stam Aser;Jozua 19:24;Jozua 19:31
204;Het grondgebied van de stam Naftali;Jozua 19:32;Jozua 19:39
205;Het grondgebied van de stam Dan;Jozua 19:40;Jozua 19:48
206;Een stad voor Jozua;Jozua 19:49;Jozua 19:51
